wandb_run_id,wandb_project,dataset,starting_modality,new_modality,teacher_test_metric,lr,asym_lr,weight_decay,epochs,modality_dropout,labeled_frequency,labeled_start_fraction,protect_lrm,use_mask_token,latent_masked_only,lambda_latent,lambda_prefusion,lambda_distill,mae_mask_ratio,trainable_params,active_losses,select_by,val_transfer,test_transfer,val_peeking,test_peeking,val_addition,test_addition,val_ens_addition,test_ens_addition,stage0_checkpoint
8l7xu0az,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144367120,latent+prefusion+distill+ce,transfer,91.67,49.45,56.04,47.80,92.97,51.66,92.31,47.39,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
afzfwnxi,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144367120,latent+prefusion+distill+ce,transfer,91.60,49.09,57.02,46.35,92.92,50.88,92.26,46.00,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
vkwkdn4j,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,142794256,latent+prefusion+distill+ce,addition,83.81,45.69,58.96,38.93,91.12,48.21,87.41,47.39,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
mz62km1j,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,142794256,latent+prefusion+distill+ce,addition,83.73,44.13,57.06,38.46,91.32,47.66,87.50,43.74,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
8kskb31q,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144367120,latent+prefusion+distill+ce,addition,91.19,48.10,56.28,40.40,91.25,49.62,91.22,44.52,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
8v0mw4bi,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,142794256,latent+prefusion+distill+ce,addition,83.79,44.64,57.80,39.71,91.19,50.54,87.38,43.67,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
fjsmtlpe,delulu-apr21,dfc2020,s1,s2,43.29,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,86.30,37.42,48.49,42.04,92.95,45.29,89.57,43.82,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
eyhl91co,delulu-apr21,dfc2020,s1,s2,43.29,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,85.84,48.96,47.98,41.08,92.05,46.01,88.72,45.81,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
n0i8bnha,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,85.80,47.13,48.61,42.85,92.67,45.54,89.19,45.61,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
ql99l9gn,delulu-apr21,dfc2020,s1,s2,43.29,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,86.12,44.95,47.66,37.43,92.06,45.73,88.97,43.88,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
awfdohha,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.34,47.58,48.46,43.80,92.53,45.92,89.38,46.26,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
4k09fyqd,delulu-apr21,dfc2020,s1,s2,43.29,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,86.17,42.12,47.48,41.76,92.44,43.84,89.13,44.12,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
8x5gztrv,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,142794256,latent+prefusion+distill+ce,peeking,84.10,46.99,58.93,41.63,92.27,53.68,88.17,50.24,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
lqnh0qd0,delulu-apr21,dfc2020,s2_rgb,s1,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,142794256,latent+prefusion+distill+ce,peeking,84.22,46.95,56.47,42.28,92.12,51.78,88.16,48.34,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
iavvwatf,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,83.15,45.52,58.46,46.49,95.06,49.85,89.06,50.25,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
0x6935wx,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,82.66,44.50,58.65,48.20,94.96,48.87,88.79,48.69,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
vudvihuq,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.52,47.08,48.47,41.61,92.60,45.31,89.52,44.69,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
u6fouwi6,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.78,48.28,48.57,43.17,92.80,45.64,89.77,46.26,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
98bqvmd2,delulu-apr21,dfc2020,s1,s2,43.29,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,86.20,45.09,48.43,42.11,92.79,44.64,89.41,44.22,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
ut34vtus,delulu-apr21,dfc2020,s2,s1,45.11,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,82.68,45.68,57.68,47.30,94.10,50.79,88.36,50.52,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
39juymzl,delulu-apr21,dfc2020,s2_rgb,s2_norgb,48.76,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144367120,latent+prefusion+distill+ce,peeking,91.54,49.59,56.59,47.71,91.79,51.01,91.67,48.25,checkpoints/sft_evan_base_dfc2020_s2_rgb_fft_lr0.0005_20260420_184627.pt
ev1xcz83,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,82.27,43.81,58.47,40.33,95.01,49.59,88.60,50.02,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
ni308px5,delulu-apr21,dfc2020,s2,s1,45.11,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,82.81,44.91,57.95,51.24,94.21,51.48,88.38,51.63,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
jti5urfu,delulu-apr21,dfc2020,s2,s1,45.11,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,83.46,46.36,57.62,46.02,93.74,47.87,88.59,51.09,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
0ntd1boe,delulu-apr21,dfc2020,s1,s2,43.29,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,86.14,47.54,47.46,39.37,91.35,43.78,88.61,43.98,checkpoints/sft_evan_base_dfc2020_s1_fft_lr0.0005_20260418_080704.pt
qiopiyp1,delulu-apr21,dfc2020,s2,s1,45.11,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,83.28,46.22,59.20,50.91,93.77,48.39,88.50,51.17,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
czmng77w,delulu-apr21,dfc2020,s2,s1,45.11,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,83.32,46.47,57.06,48.19,93.66,49.67,88.42,51.78,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
dnyqznsn,delulu-apr21,dfc2020,s2,s1,45.11,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,82.64,45.85,57.70,48.65,94.02,51.49,88.26,50.97,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
rb99sk0p,delulu-apr21,dfc2020,s2,s1,45.11,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,82.68,43.37,56.69,42.13,93.32,46.13,87.93,43.63,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
ygyblgz1,delulu-apr21,dfc2020,s2,s1,45.11,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,82.68,45.15,57.84,48.40,94.07,50.23,88.36,50.36,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
mk5pm6t7,delulu-apr21,dfc2020,s2,s1,45.11,0.0004609737361015,,0.0025063908349521,100,0.4391510180403878,0.1427819161942331,0.0,False,False,True,0.1267019920526157,0.3698855110094194,0.7303287368278879,0.4129694314364507,144760336,latent+prefusion+distill+ce,peeking,82.67,46.56,58.35,45.76,94.13,44.88,88.37,50.96,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
etgsgq2g,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,82.42,43.91,58.98,46.16,95.09,48.37,88.61,50.09,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
kspjcv6f,delulu-apr21,dfc2020,s2,s1,45.11,0.0003462018119882,,0.0006372365825795,100,0.2703635520334056,0.1870244171271878,0.0,False,False,True,0.2022943212095746,0.2826924859321525,0.7323736859538801,0.270463054923754,144760336,latent+prefusion+distill+ce,transfer,82.15,46.00,58.36,49.75,94.94,49.98,88.54,50.34,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
6hv17qdp,delulu-apr21,dfc2020,s2,s1,45.11,0.0007603670485331134,,0.003191312427861267,100,0.4108021548500306,0.17415917520891178,0.0,False,False,True,0.13263825600017404,0.8989186464658414,0.42251451066485746,0.5347535526975333,144760336,latent+prefusion+distill+ce,addition,83.09,46.71,56.99,40.61,93.63,46.92,88.35,49.71,checkpoints/sft_evan_base_dfc2020_s2_fft_lr0.0005_20260418_080316.pt
